Data;Faturamento;Número de pedidos;Ticket médio;Loja únificada;;;
01/07/2024;R$ 484.678,28;89;R$ 5.445,82;Loja oculta 1;;;
01/08/2024;R$ 135.343,50;248;R$ 545,74;Loja oculta 3;;;
01/08/2024;R$ 204.553,69;32;R$ 6.392,30;Loja oculta 2;;;
01/08/2024;R$ 47.034,60;76;R$ 618,88;Loja oculta 4;;;
01/08/2024;R$ 7.682,25;9;R$ 853,58;Loja oculta 1;;;
01/08/2024;R$ 103.378,00;69;R$ 1.498,23;Loja oculta 1;;;
01/08/2024;R$ 233.075,00;;;Loja oculta 1;;;
01/08/2024;R$ 51.144,00;48;R$ 1.065,50;Loja oculta 1;;;
01/08/2024;R$ 439.256,24;80;R$ 5.490,70;Loja oculta 1;;;
01/09/2024;R$ 60.987,00;186;R$ 327,89;Loja oculta 3;;;
01/09/2024;R$ 125.213,95;28;R$ 4.471,93;Loja oculta 2;;;
01/09/2024;R$ 25.511,86;48;R$ 531,50;Loja oculta 4;;;
01/09/2024;R$ 7.204,46;7;R$ 1.029,21;Loja oculta 1;;;
01/09/2024;R$ 66.371,47;53;R$ 1.252,29;Loja oculta 1;;;
01/09/2024;R$ 123.071,90;;;Loja oculta 1;;;
01/09/2024;R$ 93.859,00;48;R$ 1.955,40;Loja oculta 1;;;
01/09/2024;R$ 460.541,15;118;R$ 3.902,89;Loja oculta 1;;;
01/10/2024;R$ 94.608,00;181;R$ 522,70;Loja oculta 3;;;
01/10/2024;R$ 448.016,00;65;R$ 6.892,55;Loja oculta 2;;;
01/10/2024;R$ 23.698,17;52;R$ 455,73;Loja oculta 4;;;
01/10/2024;R$ 9.295,00;10;R$ 929,50;Loja oculta 1;;;
01/10/2024;R$ 69.965,17;82;R$ 853,23;Loja oculta 1;;;
01/10/2024;R$ 93.782,00;10;R$ 9.378,20;Loja oculta 1;;;
01/10/2024;R$ 52.232,15;57;R$ 916,35;Loja oculta 1;;;
01/10/2024;R$ 1.181.535,56;131;R$ 9.019,36;Loja oculta 1;;;
01/11/2024;R$ 131.903,00;258;R$ 511,25;Loja oculta 3;;;
01/11/2024;R$ 285.014,72;51;R$ 5.588,52;Loja oculta 2;;;
01/11/2024;R$ 37.122,55;101;R$ 367,55;Loja oculta 4;;;
01/11/2024;R$ 26.507,87;19;R$ 1.395,15;Loja oculta 1;;;
01/11/2024;R$ 98.602,25;79;R$ 1.248,13;Loja oculta 1;;;
01/11/2024;R$ 104.762,00;11;R$ 9.523,82;Loja oculta 1;;;
01/11/2024;R$ 36.139,96;56;R$ 645,36;Loja oculta 1;;;
01/11/2024;R$ 601.271,12;116;R$ 5.183,37;Loja oculta 1;;;
01/12/2024;R$ 100.219,60;258;R$ 388,45;Loja oculta 3;;;
01/12/2024;R$ 140.420,90;37;R$ 3.795,16;Loja oculta 2;;;
01/12/2024;R$ 49.042,15;78;R$ 628,75;Loja oculta 4;;;
01/12/2024;R$ 3.657,08;4;R$ 914,27;Loja oculta 1;;;
01/12/2024;R$ 48.155,74;42;R$ 1.146,57;Loja oculta 1;;;
01/12/2024;R$ 51.995,95;9;R$ 5.777,33;Loja oculta 1;;;
01/12/2024;R$ 27.308,00;36;R$ 758,56;Loja oculta 1;;;
01/12/2024;R$ 375.362,53;67;R$ 5.602,43;Loja oculta 1;;;
01/01/2025;R$ 108.073,32;227;R$ 476,09;Loja oculta 3;;;
01/01/2025;R$ 301.335,47;62;R$ 4.860,25;Loja oculta 2;;;
01/01/2025;R$ 31.826,91;53;R$ 600,51;Loja oculta 4;;;
01/01/2025;R$ 32.523,57;15;R$ 2.168,24;Loja oculta 1;;;
01/01/2025;R$ 26.311,00;40;R$ 657,78;Loja oculta 1;;;
01/01/2025;R$ 16.134,00;20;R$ 806,70;Loja oculta 1;;;
01/01/2025;R$ 31.007,90;53;R$ 585,05;Loja oculta 1;;;
01/01/2025;R$ 409.406,70;94;R$ 4.355,39;Loja oculta 1;;;
01/02/2025;R$ 118.248,04;240;R$ 492,70;Loja oculta 3;;;
01/02/2025;R$ 293.079,54;52;R$ 5.636,15;Loja oculta 2;;;
01/02/2025;R$ 46.755,83;44;R$ 1.062,63;Loja oculta 4;;;
01/02/2025;R$ 23.018,70;11;R$ 2.092,61;Loja oculta 1;;;
01/02/2025;R$ 60.541,97;66;R$ 917,30;Loja oculta 1;;;
01/02/2025;R$ 50.831,61;45;R$ 1.129,59;Loja oculta 1;;;
01/02/2025;R$ 41.553,54;47;R$ 884,12;Loja oculta 1;;;
01/02/2025;R$ 406.087,47;126;R$ 3.222,92;Loja oculta 1;;;
01/03/2025;R$ 123.355,08;220;R$ 560,70;Loja oculta 3;;;
01/03/2025;R$ 293.718,64;50;R$ 5.874,37;Loja oculta 2;;;
01/03/2025;R$ 36.716,02;54;R$ 679,93;Loja oculta 4;;;
01/03/2025;R$ 17.915,44;13;R$ 1.378,11;Loja oculta 1;;;
01/03/2025;R$ 127.472,75;96;R$ 1.327,84;Loja oculta 1;;;
01/03/2025;R$ 95.538,85;77;R$ 1.240,76;Loja oculta 1;;;
01/03/2025;R$ 36.533,47;51;R$ 716,34;Loja oculta 1;;;
01/03/2025;R$ 607.401,61;121;R$ 5.019,85;Loja oculta 1;;;
01/04/2025;R$ 112.618,09;199;R$ 565,92;Loja oculta 3;;;
01/04/2025;R$ 222.869,00;37;R$ 6.023,49;Loja oculta 2;;;
01/04/2025;R$ 23.671,76;60;R$ 394,53;Loja oculta 4;;;
01/04/2025;R$ 9.697,58;9;R$ 1.077,51;Loja oculta 1;;;
01/04/2025;R$ 80.135,69;82;R$ 977,26;Loja oculta 1;;;
01/04/2025;R$ 107.262,18;98;R$ 1.094,51;Loja oculta 1;;;
01/04/2025;R$ 38.993,05;40;R$ 974,83;Loja oculta 1;;;
01/04/2025;R$ 537.795,08;116;R$ 4.636,16;Loja oculta 1;;;
01/05/2025;R$ 91.028,90;202;R$ 450,64;Loja oculta 3;;;
01/05/2025;R$ 234.443,98;48;R$ 4.884,25;Loja oculta 2;;;
01/05/2025;R$ 23.555,89;67;R$ 351,58;Loja oculta 4;;;
01/05/2025;R$ 14.626,54;13;R$ 1.125,12;Loja oculta 1;;;
01/05/2025;R$ 60.470,50;78;R$ 775,26;Loja oculta 1;;;
01/05/2025;R$ 112.419,81;100;R$ 1.124,20;Loja oculta 1;;;
01/05/2025;R$ 38.452,00;48;R$ 801,08;Loja oculta 1;;;
01/05/2025;R$ 393.826,10;16;R$ 24.614,13;Loja oculta 1;;;
01/06/2025;R$ 129.806,54;229;R$ 566,84;Loja oculta 3;;;
01/06/2025;R$ 256.686,00;61;R$ 4.207,97;Loja oculta 2;;;
01/06/2025;R$ 26.782,42;91;R$ 294,31;Loja oculta 4;;;
01/06/2025;R$ 11.159,48;10;R$ 1.115,95;Loja oculta 1;;;
01/06/2025;R$ 89.817,97;82;R$ 1.095,34;Loja oculta 1;;;
01/06/2025;R$ 107.521,84;56;R$ 1.920,03;Loja oculta 1;;;
01/06/2025;R$ 32.053,47;45;R$ 712,30;Loja oculta 1;;;
01/06/2025;R$ 460.251,38;91;R$ 5.057,71;Loja oculta 1;;;
01/07/2025;R$ 223.599,85;253;R$ 883,79;Loja oculta 3;;;
01/07/2025;R$ 402.245,97;63;R$ 6.384,86;Loja oculta 2;;;
01/07/2025;R$ 32.675,40;79;R$ 413,61;Loja oculta 4;;;
01/07/2025;R$ 13.357,62;14;R$ 954,12;Loja oculta 1;;;
01/07/2025;R$ 98.245,08;107;R$ 918,18;Loja oculta 1;;;
01/07/2025;R$ 88.821,62;100;R$ 888,22;Loja oculta 1;;;
01/07/2025;R$ 49.549,06;55;R$ 900,89;Loja oculta 1;;;
01/07/2025;R$ 867.511,13;105;R$ 8.262,01;Loja oculta 1;;;
01/08/2025;R$ 103.675,98;174;R$ 595,84;Loja oculta 3;;;
01/08/2025;R$ 328.576,99;52;R$ 6.318,79;Loja oculta 2;;;
01/08/2025;R$ 116.676,52;66;R$ 1.767,83;Loja oculta 4;;;
01/08/2025;R$ 30.840,21;22;R$ 1.401,83;Loja oculta 1;;;
01/08/2025;R$ 57.471,99;71;R$ 809,46;Loja oculta 1;;;
01/08/2025;R$ 81.482,92;86;R$ 947,48;Loja oculta 1;;;
01/08/2025;R$ 35.281,95;41;R$ 860,54;Loja oculta 1;;;
01/08/2025;R$ 367.435,59;114;R$ 3.223,12;Loja oculta 1;;;
01/09/2025;R$ 123.733,48;127;R$ 974,28;Loja oculta 3;;;
01/09/2025;R$ 399.755,30;63;R$ 6.345,32;Loja oculta 2;;;
01/09/2025;R$ 115.502,59;68;R$ 1.698,57;Loja oculta 4;;;
01/09/2025;R$ 32.027,13;25;R$ 1.281,09;Loja oculta 1;;;
01/09/2025;R$ 100.682,25;97;R$ 1.037,96;Loja oculta 1;;;
01/09/2025;R$ 134.269,39;148;R$ 907,23;Loja oculta 1;;;
01/09/2025;R$ 29.679,10;36;R$ 824,42;Loja oculta 1;;;
01/09/2025;R$ 323.192,35;119;R$ 2.715,90;Loja oculta 1;;;
01/10/2025;R$ 149.653,17;125;R$ 1.197,23;Loja oculta 3;;;
01/10/2025;R$ 391.951,66;60;R$ 6.532,53;Loja oculta 2;;;
01/10/2025;R$ 119.119,78;77;R$ 1.547,01;Loja oculta 4;;;
01/10/2025;R$ 33.470,73;27;R$ 1.239,66;Loja oculta 1;;;
01/10/2025;R$ 60.776,95;80;R$ 759,71;Loja oculta 1;;;
01/10/2025;R$ 64.855,13;143;R$ 453,53;Loja oculta 1;;;
01/10/2025;R$ 64.280,52;59;R$ 1.089,50;Loja oculta 1;;;
01/10/2025;R$ 368.434,72;145;R$ 2.540,93;Loja oculta 1;;;
01/11/2025;R$ 183.674,29;161;R$ 1.140,83;Loja oculta 3;;;
01/11/2025;R$ 360.530,81;60;R$ 6.008,85;Loja oculta 2;;;
01/11/2025;R$ 160.070,61;99;R$ 1.616,87;Loja oculta 4;;;
01/11/2025;R$ 27.756,57;20;R$ 1.387,83;Loja oculta 1;;;
01/11/2025;R$ 63.499,22;63;R$ 1.007,92;Loja oculta 1;;;
01/11/2025;R$ 39.843,50;45;R$ 885,41;Loja oculta 1;;;
01/11/2025;R$ 31.400,00;36;R$ 872,22;Loja oculta 1;;;
01/11/2025;R$ 623.875,78;109;R$ 5.723,63;Loja oculta 1;;;
01/12/2025;R$ 165.527,09;180;R$ 919,59;Loja oculta 3;;;
01/12/2025;R$ 187.961,35;37;R$ 5.080,04;Loja oculta 2;;;
01/12/2025;R$ 82.162,73;76;R$ 1.081,09;Loja oculta 4;;;
01/12/2025;R$ 27.326,22;11;R$ 2.484,20;Loja oculta 1;;;
01/12/2025;R$ 20.299,63;17;R$ 1.194,10;Loja oculta 1;;;
01/12/2025;R$ 84.118,59;68;R$ 1.237,04;Loja oculta 1;;;
01/12/2025;R$ 30.966,00;29;R$ 1.067,79;Loja oculta 1;;;
01/12/2025;R$ 233.379,20;60;R$ 3.889,65;Loja oculta 1;;;
01/01/2026;R$ 147.703,34;95;R$ 1.554,77;Loja oculta 3;;;
01/01/2026;R$ 476.052,49;65;R$ 7.323,88;Loja oculta 2;;;
01/01/2026;R$ 115.692,40;80;R$ 1.446,16;Loja oculta 4;;;
01/01/2026;R$ 18.765,81;12;R$ 1.563,82;Loja oculta 1;;;
01/01/2026;R$ 97.236,34;71;R$ 1.369,53;Loja oculta 1;;;
01/01/2026;R$ 130.788,00;128;R$ 1.021,78;Loja oculta 1;;;
01/01/2026;R$ 37.176,48;102;R$ 364,48;Loja oculta 1;;;
01/01/2026;R$ 589.214,95;39;R$ 15.108,08;Loja oculta 1;;;
01/02/2026;R$ 185.384,89;172;R$ 1.077,82;Loja oculta 3;;;
01/02/2026;R$ 292.742,96;48;R$ 6.098,81;Loja oculta 2;;;
01/02/2026;R$ 106.884,78;56;R$ 1.908,66;Loja oculta 4;;;
01/02/2026;R$ 20.391,57;11;R$ 1.853,78;Loja oculta 1;;;
01/02/2026;R$ 69.280,54;87;R$ 796,33;Loja oculta 1;;;
01/02/2026;R$ 136.272,36;154;R$ 884,89;Loja oculta 1;;;
01/02/2026;R$ 36.469,42;46;R$ 792,81;Loja oculta 1;;;
01/02/2026;R$ 599.908,69;98;R$ 6.121,52;Loja oculta 1;;;
01/03/2026;R$ 277.340,93;194;R$ 1.429,59;Loja oculta 3;;;
01/03/2026;R$ 474.061,57;74;R$ 6.406,24;Loja oculta 2;;;
01/03/2026;R$ 127.364,49;67;R$ 1.900,96;Loja oculta 4;;;
01/03/2026;R$ 22.651,69;17;R$ 1.332,45;Loja oculta 1;;;
01/03/2026;R$ 69.205,92;73;R$ 948,03;Loja oculta 1;;;
01/03/2026;R$ 79.256,10;104;R$ 762,08;Loja oculta 1;;;
01/03/2026;R$ 614.357,67;123;R$ 4.994,78;Loja oculta 1;;;
01/03/2026;R$ 36.522,00;47;R$ 777,06;Loja oculta 1;;;
